Dozentenplan   WiSe 2013 Vers. 1.20 vom  24.9.2013


39
Name,Dozent,Raum,WT,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,1060,Di,12:30,17:45
BAI1-MGÜ,KLC,1060,Mo,8:15,11:30
BAI1-PR1,BHM,NB 01.11,Di,8:15,11:30
BAI1-PRP1/01,BHM/[Oel],1102,Do,8:15,11:30
BAI1-PR1,BHM,NB 01.11,Do,12:30,15:45
BAI1-TSE/02,,1065,Do,16:00,19:00
BAI1-TSE/01,,0861,Do,16:00,19:00
BAI1-MG,KLC,NB 01.10,Mi,8:15,11:30

40
Name,Dozent,Raum,WT,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,1060,Di,12:30,17:45
BAI1-MGÜ,KLC,1060,Mo,8:15,11:30
BAI1-PR1,BHM,NB 01.11,Di,8:15,11:30
BAI1-PR1,BHM,NB 01.11,Do,12:30,15:45
BAI1-PRP1/03,BHM/[Oel],1101b,Fr,8:15,11:30
BAI1-PRP1/05,BHM/[Oel],1105,Mi,12:30,15:45
BAI1-MG,KLC,NB 01.10,Mi,8:15,11:30

41, 43, 45, 47, 49
Name,Dozent,Raum,WT,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,1060,Di,12:30,17:45
BAI1-MGÜ,KLC,1060,Mo,8:15,11:30
BAI1-PR1,BHM,NB 01.11,Di,8:15,11:30
BAI1-PR1,BHM,NB 01.11,Do,12:30,15:45
BAI1-PRP1/02,BHM/[Oel],1102,Do,8:15,11:30
BAI1-TSE/02,,1065,Do,16:00,19:00
BAI1-PRP1/04,BHM/[Oel],1101b,Fr,8:15,11:30
BAI1-PRP1/06 Optional,BHM/[Oel],1105,Mi,12:30,15:45
BAI1-TSE/01,,0861,Do,16:00,19:00
BAI1-MG,KLC,NB 01.10,Mi,8:15,11:30

42, 44, 46, 48, 50
Name,Dozent,Raum,WT,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,1060,Di,12:30,17:45
BAI1-MGÜ,KLC,1060,Mo,8:15,11:30
BAI1-PR1,BHM,NB 01.11,Di,8:15,11:30
BAI1-PRP1/01,BHM/[Oel],1102,Do,8:15,11:30
BAI1-PR1,BHM,NB 01.11,Do,12:30,15:45
BAI1-TSE/02,,1065,Do,16:00,19:00
BAI1-PRP1/03,BHM/[Oel],1101b,Fr,8:15,11:30
BAI1-PRP1/05,BHM/[Oel],1105,Mi,12:30,15:45
BAI1-TSE/01,,0861,Do,16:00,19:00
BAI1-MG,KLC,NB 01.10,Mi,8:15,11:30

51, 55
Name,Dozent,Raum,WT,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,1060,Di,12:30,17:45
