Stundenplan  SoSe 11 (Vers.1.10 vom 6.4.11)
Semestergruppe  B-AI1


10
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-OE I,,1260,Do,9:00,17:00
BAI1-OE I,,1260,Fr,9:00,17:00

11
Name,Dozent,Raum,Tag,Anfang,Ende
Vorkurs PRG,,1101a,Do,8:15,14:35
Vorkurs PRG,,1101b,Fr,8:15,14:35
Vorkurs PRG,,1102,Do,8:15,14:35
BAI1-OE I,,1260,Mo,9:00,17:00
BAI1-OE I,,1260,Di,9:00,17:00
BAI1-OE I,,1260,Mi,9:00,17:00

12
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,NB 01.10,Mi,12:30,17:45
BAI1-MG/MGÜ,PDB,0405,Mo,8:15,11:30
BAI1-PR1,WND,0405,Di,8:15,11:30
BAI1-PRP1/01,WND/[Oel],1165,Mi,8:15,11:30
BAI1-PRP1/02,WND/[Oel],1105,Di,12:30,15:45
BAI1-TSE/02,,0481,Mi,18:00,19:30
BAI1-PRP1/06 Optional,WND/[Oel],1101a,Fr,12:30,15:45
BAI1-MG/MGÜ,PDB,0265,Do,12:30,17:30
BAI1-PR1,WND,1001,Do,8:15,11:30

13, 19, 21
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,NB 01.10,Mi,12:30,17:45
BAI1-MG/MGÜ,PDB,0405,Mo,8:15,11:30
BAI1-PR1,WND,0405,Di,8:15,11:30
BAI1-TSE/02,,0481,Mi,18:00,19:30
BAI1-PRP1/03,WND/[Oel],1165,Mi,8:15,11:30
BAI1-PRP1/04,WND/[Oel],1105,Di,12:30,15:45
BAI1-PRP1/05 WDH,WND/[Oel],1101a,Do,8:15,11:30
BAI1-MG/MGÜ,PDB,0265,Do,12:30,17:30
BAI1-TSE/01,,0481,Do,16:00,17:30
BAI1-MG Tutor,,0481,Do,17:45,19:15

14, 16
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,NB 01.10,Mi,12:30,17:45
BAI1-MG/MGÜ,PDB,0405,Mo,8:15,11:30
BAI1-PR1,WND,0405,Di,8:15,11:30
BAI1-PRP1/01,WND/[Oel],1165,Mi,8:15,11:30
BAI1-PRP1/02,WND/[Oel],1105,Di,12:30,15:45
BAI1-TSE/02,,0481,Mi,18:00,19:30
BAI1-PRP1/06 Optional,WND/[Oel],1101a,Fr,12:30,15:45
BAI1-MG/MGÜ,PDB,0265,Do,12:30,17:30
BAI1-TSE/01,,0481,Do,17:45,19:15
BAI1-MG Tutor,,0481,Do,16:00,17:30
BAI1-PR1,WND,1001,Do,8:15,11:30

15
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,NB 01.10,Mi,12:30,17:45
BAI1-MG/MGÜ,PDB,0405,Mo,8:15,11:30
BAI1-PR1,WND,0405,Di,8:15,11:30
BAI1-TSE/02,,0481,Mi,18:00,19:30
BAI1-PRP1/03,WND/[Oel],1165,Mi,8:15,11:30
BAI1-PRP1/04,WND/[Oel],1105,Di,12:30,15:45
BAI1-PRP1/05 WDH,WND/[Oel],1101a,Do,8:15,11:30
BAI1-MG/MGÜ,PDB,0265,Do,12:30,17:30
BAI1-TSE/01,,0481,Do,17:45,19:15
BAI1-MG Tutor,,0481,Do,16:00,17:30

17
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-GI/GIÜ,LCK,NB 01.10,Mi,12:30,17:45
BAI1-PR1,WND,0405,Di,8:15,11:30
BAI1-TSE/02,,0481,Mi,18:00,19:30
BAI1-PRP1/03,WND/[Oel],1165,Mi,8:15,11:30
BAI1-PRP1/04,WND/[Oel],1105,Di,12:30,15:45
BAI1-PRP1/05 WDH,WND/[Oel],1101a,Do,8:15,11:30
BAI1-TSE/01,,0481,Do,17:45,19:15
BAI1-MG Tutor,,0481,Do,16:00,17:30

18, 20
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,NB 01.10,Mi,12:30,17:45
BAI1-MG/MGÜ,PDB,0405,Mo,8:15,11:30
BAI1-PR1,WND,0405,Di,8:15,11:30
BAI1-PRP1/01,WND/[Oel],1165,Mi,8:15,11:30
BAI1-PRP1/02,WND/[Oel],1105,Di,12:30,15:45
BAI1-TSE/02,,0481,Mi,18:00,19:30
BAI1-PRP1/06 Optional,WND/[Oel],1101a,Fr,12:30,15:45
BAI1-MG/MGÜ,PDB,0265,Do,12:30,17:30
BAI1-TSE/01,,0481,Do,16:00,17:30
BAI1-MG Tutor,,0481,Do,17:45,19:15
BAI1-PR1,WND,1001,Do,8:15,11:30

22
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,NB 01.10,Mi,12:30,17:45
BAI1-MG/MGÜ,PDB,0405,Mo,8:15,11:30
BAI1-PR1,WND,0405,Di,8:15,11:30
BAI1-PRP1/01,WND/[Oel],1165,Mi,8:15,11:30
BAI1-PRP1/02,WND/[Oel],1105,Di,12:30,15:45
BAI1-TSE/02,,0481,Mi,18:00,19:30
BAI1-PR1,WND,1001,Do,8:15,11:30

23, 25
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,NB 01.10,Mi,12:30,17:45
BAI1-MG/MGÜ,PDB,0405,Mo,8:15,11:30
BAI1-PR1,WND,0405,Di,8:15,11:30
BAI1-TSE/02,,0481,Mi,18:00,19:30
BAI1-PRP1/03,WND/[Oel],1165,Mi,8:15,11:30
BAI1-PRP1/04,WND/[Oel],1105,Di,12:30,15:45
BAI1-PRP1/05 WDH,WND/[Oel],1101a,Do,8:15,11:30
BAI1-MG/MGÜ,PDB,0265,Do,12:30,17:30
BAI1-MG Tutor,,0481,Do,16:00,17:30

24
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,NB 01.10,Mi,12:30,17:45
BAI1-MG/MGÜ,PDB,0405,Mo,8:15,11:30
BAI1-PRP1/01,WND/[Oel],1165,Mi,8:15,11:30
BAI1-TSE/02,,0481,Mi,18:00,19:30
BAI1-PRP1/06 Optional,WND/[Oel],1101a,Fr,12:30,15:45
BAI1-MG/MGÜ,PDB,0265,Do,12:30,17:30
BAI1-MG Tutor,,0481,Do,16:00,17:30
BAI1-PR1,WND,1001,Do,8:15,11:30

26
Name,Dozent,Raum,Tag,Anfang,Ende
BAI1-BW1/BWÜ1,KLDW,1260,Mo,12:30,17:45
BAI1-GI/GIÜ,LCK,NB 01.10,Mi,12:30,17:45
BAI1-MG/MGÜ,PDB,0405,Mo,8:15,11:30
BAI1-PR1,WND,0405,Di,8:15,11:30
BAI1-PRP1/01,WND/[Oel],1165,Mi,8:15,11:30
BAI1-PRP1/02,WND/[Oel],1105,Di,12:30,15:45
BAI1-TSE/02,,0481,Mi,18:00,19:30
BAI1-PRP1/06 Optional,WND/[Oel],1101a,Fr,12:30,15:45
BAI1-MG/MGÜ,PDB,0265,Do,12:30,17:30
BAI1-MG Tutor,,0481,Do,16:00,17:30
BAI1-PR1,WND,1001,Do,8:15,11:30
Stundenplan  SoSe 11 (Vers.1.10 vom 6.4.11)
Semestergruppe  B-AI2


12
Name,Dozent,Raum,Tag,Anfang,Ende
BAI2-RMP,MSL,0480,Fr,8:15,11:30
BAI2-DB,TLC,1265,Do,8:15,11:30
BAI2-PR2,BHM,0360,Mi,8:15,11:30

13
Name,Dozent,Raum,Tag,Anfang,Ende
BAI2-LB,TLC,NB 01.10,Di,12:30,15:45
BAI2-RMP,MSL,0480,Fr,8:15,11:30
BAI2-AF/AFÜ,PDB,0405,Mo,12:30,15:45
BAI2-AF/AFÜ,PDB,0405,Mi,12:30,15:45
BAI2-LBP/04,TLC/[Nmn],1165,Di,16:15,19:30
BAI2-DB,TLC,1265,Do,8:15,11:30
BAI2-PR2,BHM,0360,Mi,8:15,11:30

14
Name,Dozent,Raum,Tag,Anfang,Ende
BAI2-LB,TLC,NB 01.10,Di,12:30,15:45
BAI2-RMP,MSL,0480,Fr,8:15,11:30
BAI2-AF/AFÜ,PDB,0405,Mo,12:30,15:45
BAI2-AF/AFÜ,PDB,0405,Mi,12:30,15:45
BAI2-RMPP/01,MSL/[Ben],0709,Do,12:30,15:45
BAI2-LBP/01,TLC/[Nmn],1101b,Di,8:15,11:30
BAI2-DBP/01,TLC/[Bro],1165,Do,12:30,15:45
BAI2-PRP2/01,BHM/[Oel],1105,Mo,8:15,11:30
BAI2-PRP2/04 ,BHM/[Oel],1102,Do,12:30,15:45
BAI2-DB,TLC,1265,Do,8:15,11:30
BAI2-PR2,BHM,0360,Mi,8:15,11:30

15
Name,Dozent,Raum,Tag,Anfang,Ende
BAI2-LB,TLC,NB 01.10,Di,12:30,15:45
BAI2-RMP,MSL,0480,Fr,8:15,11:30
BAI2-AF/AFÜ,PDB,0405,Mo,12:30,15:45
BAI2-AF/AFÜ,PDB,0405,Mi,12:30,15:45
BAI2-RMPP/02,MSL/[Ben],0709,Do,12:30,15:45
BAI2-LBP/02,TLC/[Nmn],1101b,Di,8:15,11:30
BAI2-DBP/02,TLC/[Bro],1165,Do,12:30,15:45
BAI2-PRP2/02,BHM/[Oel],1105,Mo,8:15,11:30
BAI2-DB,TLC,1265,Do,8:15,11:30
BAI2-PR2,BHM,0360,Mi,8:15,11:30

16
Name,Dozent,Raum,Tag,Anfang,Ende
BAI2-LB,TLC,NB 01.10,Di,12:30,15:45
BAI2-AF/AFÜ,PDB,0405,Mo,12:30,15:45
BAI2-AF/AFÜ,PDB,0405,Mi,12:30,15:45
BAI2-RMPP/03,MSL/[Ben],0709,Do,12:30,15:45
BAI2-LBP/03,TLC/[Nmn],1101b,Di,8:15,11:30
