Stundenplan  SoSe 2013 Vers 1.0.6 vom  14.03.2013
Semestergruppe  A-M


11
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-AS,RTH,Stiftstr.69  R205,Mi,8:10,11:25
A-M1-EP,WNC,0662,Mi,12:10,15:40
A-M1-AS,RTH,1265,Fr,8:10,11:25
A-M2-VPJ,MAA,0462,Do,8:10,11:25
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
A-M1-ASS,HLZ/WNC,Stiftstr.69  R110,Di,12:10,15:40
A-M2-VP,RTH,0665,Fr,12:10,15:40
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40

12
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-AS,RTH,Stiftstr.69  R205,Mi,8:10,11:25
A-M1-EP,WNC,0662,Mi,12:10,15:40
A-M2-PSP,WLNS,1065,Mo,12:10,15:40
A-M1-AS,RTH,1265,Fr,8:10,11:25
A-M2-VPJ,MAA,0462,Do,8:10,11:25
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
A-M1-ASS,HLZ/WNC,Stiftstr.69  R110,Di,12:10,15:40
A-M2-VP,RTH,0665,Fr,12:10,15:40
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40

13
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-AS,RTH,Stiftstr.69  R205,Mi,8:10,11:25
A-M1-EP,WNC,0662,Mi,12:10,15:40
A-M2-PSP,WLNS,1065,Mo,12:10,15:40
A-M2-VPJ,MAA,0462,Do,8:10,11:25
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
A-M1-ASS,HLZ/WNC,Stiftstr.69  R110,Di,12:10,15:40
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40

14
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-AS,RTH,Stiftstr.69  R205,Mi,8:10,11:25
A-M1-EP,WNC,0662,Mi,12:10,15:40
A-M1-AS,RTH,1265,Fr,8:10,11:25
A-M2-VPJ,MAA,0462,Do,8:10,11:25
A-M1-ASS,HLZ/WNC,Stiftstr.69  R110,Di,12:10,15:40
A-M2-VP,RTH,0665,Fr,12:10,15:40
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40

15
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-AS,RTH,Stiftstr.69  R205,Mi,8:10,11:25
A-M1-EPP/01,WNC/[Zey],0401,Di,8:10,11:25
A-M1-EP,WNC,0662,Mi,12:10,15:40
A-M2-VP,HLZ/[Zey],0662,Do,8:10,11:25
A-M1-AS,RTH,1265,Fr,8:10,11:25
A-M2-VPJ,MAA,0462,Do,8:10,11:25
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
A-M2-VP,RTH,0665,Fr,12:10,15:40
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40

16
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-AS,RTH,Stiftstr.69  R205,Mi,8:10,11:25
A-M1-EP,WNC,0662,Mi,12:10,15:40
A-M2-VP,HLZ/[Zey],0662,Do,8:10,11:25
A-M2-PSP,WLNS,1065,Mo,12:10,15:40
A-M2-VPJ,MAA,0462,Do,8:10,11:25
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
A-M1-EPP/02,WNC/[Zey],0401,Di,8:10,11:25
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40

17
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-AS,RTH,Stiftstr.69  R205,Mi,8:10,11:25
A-M1-EP,WNC,0662,Mi,12:10,15:40
A-M2-VP,HLZ/[Zey],0662,Do,8:10,11:25
A-M1-AS,RTH,1265,Fr,8:10,11:25
A-M2-VPJ,MAA,0462,Do,8:10,11:25
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40

18
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-ASP/01,RTH/[Kor],0301,Fr,8:10,11:25
A-M1-EPP/01,WNC/[Zey],0401,Di,8:10,11:25
A-M2-VP,HLZ/[Zey],0662,Do,8:10,11:25
A-M1-DE,VPL,0865,Di,12:10,15:40
A-M2-VPJ,MAA,0462,Do,8:10,11:25
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
A-M1-ASP/02,RTH/[Kor],0301,Fr,12:10,15:40
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40

19
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-EP,WNC,0662,Mi,12:10,15:40
A-M1-DE,VPL,0865,Di,12:10,15:40
A-M2-PSP,WLNS,1065,Mo,12:10,15:40
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
