Stundenplan  WiSe 2014 Vers. 1.1.2 vom 08.10.2014
Semestergruppe  A-M


38
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WP1,WDL,1401,Mo,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0865,Mo,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0885,Mo,8:10,11:25
A-M-ASS,WNC,0865,Mo,15:55,19:25
A-M-NR,MAA,0861,Mi,8:10,11:25
EuI-M-WP2,WNC,0560,Mo,8:10,11:25
A-M-VPJ2,MAA/MNR/[Huß],0462,Do,8:10,11:25
EuI-M-WP4,SVG,1281,Mo,8:10,11:25
A-M-VPJ2,MAA/MNR/VPL/[Zey],0462,Do,12:10,15:40
A-M-EC,MNR,0861,Di,8:10,11:25

39-40
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WP1,WDL,1401,Mo,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0865,Mo,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0885,Mo,8:10,11:25
A-M-ASS,WNC,0865,Mo,15:55,19:25
A-M-NR,MAA,0861,Mi,8:10,11:25
A-M-VPJ2,MAA/MNR/[Huß],0462,Do,8:10,11:25
A-M-MR,WNC,0861,Di,12:10,15:40
EuI-M-WP4,SVG,1281,Mo,8:10,11:25
EuI-M-WP2,WNC,1065,Mo,8:10,11:25
A-M-VPJ2,MAA/MNR/VPL/[Zey],0462,Do,12:10,15:40
A-M-EC,MNR,0861,Di,8:10,11:25

41
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WP1,WDL,1401,Mo,8:10,11:25
A-M-NR,MAA,0861,Mi,12:10,15:40
EuI-M-WP3/WPP3,KZR/[Kup],0865,Mo,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0885,Mo,8:10,11:25
A-M-NRP/01,MAA/[Zey],0601,Mi,8:10,11:25
A-M-ASS,WNC,0865,Mo,15:55,19:25
A-M-VPJ2,MAA/MNR/[Huß],0462,Do,8:10,11:25
A-M-MR,WNC,0861,Di,12:10,15:40
EuI-M-WP4,SVG,1281,Mo,8:10,11:25
EuI-M-WP2,WNC,1065,Mo,8:10,11:25
A-M-VPJ2,MAA/MNR/VPL/[Zey],0462,Do,12:10,15:40
A-M-EC,MNR,0861,Di,8:10,11:25

42
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WPP4,SVG/[Kup],0885,Mo,8:10,11:25
EuI-M-WP3,KZR,0865,Mo,8:10,11:25
EuI-M-WPP1/01,WDL/[Neu],1401,Mo,8:10,11:25
A-M-ASS,WNC,0865,Mo,15:55,19:25
A-M-VPJ2,MAA/MNR/[Huß],0462,Do,8:10,11:25
EuI-M-WP2,WNC,1065,Mo,8:10,11:25
A-M-VPJ2,MAA/MNR/VPL/[Zey],0462,Do,12:10,15:40
A-M-EC,MNR,0861,Di,8:10,11:25

43
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WPP2/01,WNC/[Zey],0401,Mo,8:10,11:25
EuI-M-WP1,WDL,1401,Mo,8:10,11:25
A-M-NR,MAA,0861,Mi,12:10,15:40
EuI-M-WPP2/02,WNC,0401,Mo,12:10,15:40
EuI-M-WP3/WPP3,KZR/[Kup],0865,Mo,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0885,Mo,8:10,11:25
A-M-NRP/02,MAA/[Zey],0601,Mi,8:10,11:25
A-M-ASS,WNC,0865,Mo,15:55,19:25
A-M-ECP/02,MNR/[Huß],0402,Di,8:10,11:25
A-M-VPJ2,MAA/MNR/[Huß],0462,Do,8:10,11:25
A-M-MR,WNC,0861,Di,12:10,15:40
EuI-M-WP4,SVG,1281,Mo,8:10,11:25
A-M-VPJ2,MAA/MNR/VPL/[Zey],0462,Do,12:10,15:40

44
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WP1,WDL,1401,Mo,8:10,11:25
A-M-NR,MAA,0861,Mi,12:10,15:40
A-M-MRP/02,WNC/[Zey],0601,Mi,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0865,Mo,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0885,Mo,8:10,11:25
A-M-ASS,WNC,0865,Mo,15:55,19:25
A-M-ECP/01,MNR/[Huß],0402,Mi,8:10,11:25
A-M-VPJ2,MAA/MNR/[Huß],0462,Do,8:10,11:25
A-M-MRP/01,WNC/[Zey],0601,Di,12:10,15:40
EuI-M-WP4,SVG,1281,Mo,8:10,11:25
EuI-M-WP2,WNC,1065,Mo,8:10,11:25
A-M-VPJ2,MAA/MNR/VPL/[Zey],0462,Do,12:10,15:40
A-M-EC,MNR,0861,Di,8:10,11:25

45
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WPP4,SVG/[Kup],0885,Mo,8:10,11:25
EuI-M-WP3,KZR,0865,Mo,8:10,11:25
A-M-NR,MAA,0861,Mi,12:10,15:40
EuI-M-WPP1/01,WDL/[Neu],1401,Mo,8:10,11:25
A-M-NRP/01,MAA/[Zey],0601,Mi,8:10,11:25
A-M-ASS,WNC,0865,Mo,15:55,19:25
A-M-VPJ2,MAA/MNR/[Huß],0462,Do,8:10,11:25
A-M-MR,WNC,0861,Di,12:10,15:40
EuI-M-WP2,WNC,1065,Mo,8:10,11:25
A-M-VPJ2,MAA/MNR/VPL/[Zey],0462,Do,12:10,15:40
A-M-EC,MNR,0861,Di,8:10,11:25

46, 49
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WPP2/01,WNC/[Zey],0401,Mo,8:10,11:25
EuI-M-WP1,WDL,1401,Mo,8:10,11:25
A-M-NR,MAA,0861,Mi,12:10,15:40
EuI-M-WPP2/02,WNC,0401,Mo,12:10,15:40
EuI-M-WP3/WPP3,KZR/[Kup],0865,Mo,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0885,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/[Zey],0462,Do,12:10,15:40
A-M-NRP/02,MAA/[Zey],0601,Mi,8:10,11:25
A-M-ECP/02,MNR/[Huß],0402,Di,8:10,11:25
A-M-MR,WNC,0861,Di,12:10,15:40
EuI-M-WP4,SVG,1281,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/RTH/[Huß],0462,Do,8:10,11:25

47, 50
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WP1,WDL,1401,Mo,8:10,11:25
A-M-NR,MAA,0861,Mi,12:10,15:40
A-M-MRP/02,WNC/[Zey],0601,Mi,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0865,Mo,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0885,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/[Zey],0462,Do,12:10,15:40
A-M-ECP/01,MNR/[Huß],0402,Mi,8:10,11:25
A-M-MRP/01,WNC/[Zey],0601,Di,12:10,15:40
EuI-M-WP4,SVG,1281,Mo,8:10,11:25
EuI-M-WP2,WNC,1065,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/RTH/[Huß],0462,Do,8:10,11:25
A-M-EC,MNR,0861,Di,8:10,11:25

48
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WPP4,SVG/[Kup],0885,Mo,8:10,11:25
EuI-M-WP3,KZR,0865,Mo,8:10,11:25
A-M-NR,MAA,0861,Mi,12:10,15:40
A-M-VPJ1,MAA/MNR/[Zey],0462,Do,12:10,15:40
EuI-M-WPP1/01,WDL/[Neu],1401,Mo,8:10,11:25
A-M-NRP/01,MAA/[Zey],0601,Mi,8:10,11:25
A-M-MR,WNC,0861,Di,12:10,15:40
EuI-M-WP2,WNC,1065,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/RTH/[Huß],0462,Do,8:10,11:25
A-M-EC,MNR,0861,Di,8:10,11:25

51
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WPP4,SVG/[Kup],0885,Mo,8:10,11:25
EuI-M-WP3,KZR,0865,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/[Zey],0462,Do,12:10,15:40
EuI-M-WPP1/01,WDL/[Neu],1401,Mo,8:10,11:25
A-M-NRP/01,MAA/[Zey],0601,Mi,8:10,11:25
A-M-MR,WNC,0861,Di,12:10,15:40
EuI-M-WP2,WNC,1065,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/RTH/[Huß],0462,Do,8:10,11:25
