Stundenplan  WiSe 2015/2016 Vers. 0.9.1 vom 7.9.2015 
Semestergruppe  A-M


39
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WP3,KZR,0865,Mo,8:10,11:25
A-M-Begrüßung,WNC,1260,Mo,8:10,9:40
A-M-NR,MAA,1486,Di,8:10,11:25
EuI-M-WP2,WNC,Stiftstr69  R205,Mo,9:55,11:25
A-M-VPJ1,MAA/MNR/VPL/[Huß],0462,Do,8:10,11:25
A-M-MR,WNC,1486,Di,12:10,15:40
EuI-M-WP4,SHN,1065,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/VPL/[Zey],0462,Do,12:10,15:40
A-M-EC,MNR,1486,Mi,8:10,11:25

40-41
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WP3,KZR,0865,Mo,8:10,11:25
A-M-NR,MAA,1486,Di,8:10,11:25
A-M-MR,WNC,1065,Mi,12:10,15:40
A-M-VPJ1,MAA/MNR/VPL/[Huß],0462,Do,8:10,11:25
A-M-ASS,WNC,,Fr,8:10,11:25
A-M-MR,WNC,1486,Di,12:10,15:40
EuI-M-WP4,SHN,1065,Mo,8:10,11:25
EuI-M-WP2,WNC,Stiftstr69  R205,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/VPL/[Zey],0462,Do,12:10,15:40
A-M-EC,MNR,1486,Mi,8:10,11:25

42
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WP3,KZR,0865,Mo,8:10,11:25
EuI-M-WP2,WNC,0861,Di,8:10,11:25
A-M-NR,MAA,1486,Di,12:10,15:40
A-M-VPJ1,MAA/MNR/VPL/[Huß],0462,Do,8:10,11:25
A-M-ASS,WNC,,Fr,8:10,11:25
EuI-M-WP4,SHN,1065,Mo,8:10,11:25
EuI-M-WP2,WNC,Stiftstr69  R205,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/VPL/[Zey],0462,Do,12:10,15:40

43
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WP3,KZR,0865,Mo,8:10,11:25
A-M-NR,MAA,1486,Di,8:10,11:25
A-M-VPJ1,MAA/MNR/VPL/[Huß],0462,Do,8:10,11:25
A-M-NRP/01,MAA/[Zey],0601,Mo,12:10,15:40
A-M-ASS,WNC,,Fr,8:10,11:25
A-M-MRP/01,WNC/[Zey],0601,Mi,12:10,15:40
EuI-M-WP4,SHN,1065,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/VPL/[Zey],0462,Do,12:10,15:40
A-M-EC,MNR,1486,Mi,8:10,11:25

44
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WPP4,SHN/[Neu],1485,Mo,8:10,11:25
EuI-M-WPP2/01,WNC/[Zey],0401,Mo,8:10,11:25
EuI-M-WP3,KZR,0865,Mo,8:10,11:25
A-M-NR,MAA,1486,Di,8:10,11:25
A-M-MRP/02,WNC/[Zey],0601,Mi,12:10,15:40
A-M-VPJ1,MAA/MNR/VPL/[Huß],0462,Do,8:10,11:25
A-M-NRP/02,MAA/[Zey],0601,Mo,12:10,15:40
A-M-ASS,WNC,,Fr,8:10,11:25
A-M-ECP/01,MNR/[Huß],0402,Mi,12:10,15:40
A-M-MR,WNC,1486,Di,12:10,15:40
A-M-VPJ1,MAA/MNR/VPL/[Zey],0462,Do,12:10,15:40
A-M-EC,MNR,1486,Mi,8:10,11:25

45
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WP3,KZR,0865,Mo,8:10,11:25
A-M-NR,MAA,1486,Di,8:10,11:25
EuI-M-WPP2/02,WNC/[Zey],0401,Mi,12:10,15:40
A-M-ECP/02,MNR/[Huß],0402,Mi,12:10,15:40
A-M-VPJ1,MAA/MNR/VPL/[Huß],0462,Do,8:10,11:25
A-M-ASS,WNC,,Fr,8:10,11:25
A-M-MR,WNC,1486,Di,12:10,15:40
EuI-M-WP4,SHN,1065,Mo,8:10,11:25
